epoch,train_loss,train_acc,val_loss,val_acc,ce_loss,grad_penalty,lambda_x_penalty,grad_R,grad_G,grad_B
1,2.538073,0.774386,0.769205,0.786053,0.501322,0.92010361,0.506057,0.110315,0.109310,0.109969
2,0.896433,0.806096,0.646117,0.809825,0.195139,0.40593421,0.223264,0.100062,0.099792,0.099891
3,0.702873,0.854671,0.482700,0.858509,0.374200,0.55904973,0.307477,0.105570,0.104929,0.105768
4,0.645239,0.870241,0.474447,0.855000,0.522005,0.38871095,0.213791,0.107602,0.106811,0.106930
5,0.678486,0.856864,0.610519,0.819298,1.112082,0.23715258,0.130434,0.103337,0.103476,0.103674
6,0.765430,0.838158,0.424566,0.866667,0.278140,0.49830317,0.274067,0.107946,0.108101,0.108507
7,0.696239,0.859298,0.543752,0.841667,0.822998,0.44388348,0.244136,0.110329,0.109608,0.111418
8,0.639504,0.863882,0.402069,0.879211,0.521675,0.29917052,0.164544,0.101348,0.101289,0.101143
9,0.591127,0.883136,0.370670,0.887105,0.335394,0.29101676,0.160059,0.106671,0.106157,0.106057
10,0.590829,0.885132,0.382662,0.889386,0.193405,0.27158356,0.149371,0.100876,0.100318,0.101083
11,0.511227,0.889079,0.364300,0.892193,0.261576,0.23252508,0.127889,0.115002,0.114785,0.115885
12,0.477385,0.896228,0.357835,0.895000,0.224403,0.17726588,0.097496,0.108935,0.108607,0.109685
13,0.451749,0.901425,0.351757,0.898772,0.780450,0.37315860,0.205237,0.110985,0.110406,0.111635
14,0.453495,0.902434,0.341448,0.902193,0.463878,0.12028670,0.066158,0.095345,0.094891,0.095456
15,0.450092,0.904189,0.346359,0.899035,0.497977,0.13570730,0.074639,0.100588,0.101008,0.101299
16,0.435726,0.909781,0.320757,0.908772,0.524373,0.24514399,0.134829,0.104259,0.104315,0.105348
17,0.461872,0.901864,0.332669,0.898772,0.357716,0.32785353,0.180319,0.107365,0.107118,0.107822
18,0.427347,0.906382,0.302207,0.913333,0.300401,0.18749224,0.103121,0.107534,0.107683,0.107642
19,0.426897,0.909211,0.329461,0.907895,0.338136,0.26360834,0.144985,0.100700,0.100641,0.101098
20,0.424850,0.911162,0.314109,0.908333,0.090486,0.16083458,0.088459,0.103391,0.103386,0.103466
