epoch,train_loss,train_acc,val_loss,val_acc,ce_loss,grad_penalty,lambda_x_penalty,grad_R,grad_G,grad_B
1,3.494059,0.781096,0.685888,0.798333,1.010540,0.87926418,0.659448,0.103383,0.102623,0.102838
2,1.065105,0.811908,0.556662,0.832544,0.192490,0.79335642,0.595017,0.111343,0.111555,0.112324
3,0.943808,0.835548,0.749507,0.754123,0.325054,0.32643938,0.244830,0.108188,0.108482,0.109006
4,0.861540,0.831338,0.464245,0.862544,0.152999,0.50688362,0.380163,0.109934,0.109513,0.110477
5,0.816026,0.868268,0.397935,0.875351,0.223251,0.40132385,0.300993,0.107572,0.108167,0.107996
6,0.927807,0.852675,0.441860,0.867544,0.851794,0.43867594,0.329007,0.100513,0.101304,0.101062
7,0.829811,0.866360,0.488546,0.850702,0.275286,0.27676636,0.207575,0.107919,0.107141,0.107760
8,0.748758,0.858158,0.464588,0.862018,0.616131,0.41199195,0.308994,0.110389,0.110384,0.110685
9,0.915412,0.856996,0.472792,0.867544,0.640882,0.48133191,0.360999,0.106783,0.104366,0.104663
10,0.829505,0.859101,0.427162,0.867895,0.335479,0.56317830,0.422384,0.100708,0.101287,0.100711
11,0.622656,0.874430,0.398352,0.879474,0.864279,0.22126774,0.165951,0.104445,0.104538,0.104728
12,0.602174,0.873662,0.487730,0.866316,0.965966,0.22065568,0.165492,0.105697,0.104096,0.105125
13,0.680012,0.858202,0.509266,0.854825,0.592526,0.14772028,0.110790,0.101198,0.101336,0.101464
14,0.632207,0.866623,0.500399,0.867456,0.783473,0.27228430,0.204213,0.105216,0.104936,0.104179
15,0.654137,0.852412,0.510835,0.843772,0.598732,0.21198274,0.158987,0.103018,0.103537,0.102933
16,0.598882,0.866184,0.458299,0.859649,0.364455,0.12156438,0.091173,0.104368,0.104622,0.104192
17,0.615290,0.871601,0.412584,0.875526,0.301790,0.32863632,0.246477,0.103942,0.103815,0.104833
18,0.590644,0.870570,0.453438,0.858947,0.391314,0.14016187,0.105121,0.106323,0.106123,0.106803
19,0.587090,0.865263,0.412718,0.869211,0.621124,0.17358646,0.130190,0.101389,0.101257,0.100856
20,0.573828,0.878487,0.364729,0.886316,0.258852,0.24967766,0.187258,0.103246,0.102985,0.102607
