epoch,train_loss,train_acc,val_loss,val_acc,ce_loss,grad_penalty,lambda_x_penalty,grad_R,grad_G,grad_B
1,2.427793,0.778860,1.831092,0.522982,0.456074,0.33349782,0.183424,0.104518,0.104569,0.104312
2,0.621360,0.863202,0.532975,0.828684,0.648311,0.37497753,0.206238,0.106672,0.106251,0.106724
3,0.658889,0.856009,0.530797,0.852895,0.355659,0.47806507,0.262936,0.102128,0.102048,0.102359
4,0.643450,0.866842,0.754178,0.768070,0.710892,0.35807660,0.196942,0.113073,0.113054,0.113104
5,0.592873,0.861425,0.544572,0.829211,0.885526,0.43455970,0.239008,0.103021,0.102650,0.102671
6,0.592596,0.849342,0.466396,0.850526,0.568437,0.28270516,0.155488,0.098584,0.098230,0.098565
7,0.640144,0.843377,0.457219,0.843860,0.998890,0.35529447,0.195412,0.102849,0.102699,0.102627
8,0.684027,0.849232,0.696618,0.784123,0.310858,0.21664998,0.119157,0.107945,0.108005,0.108162
9,0.514571,0.864912,0.572274,0.814474,0.527731,0.15659924,0.086130,0.108262,0.108032,0.108556
10,0.510839,0.869364,0.406646,0.872018,0.239013,0.07366432,0.040515,0.100234,0.100418,0.100372
11,0.432860,0.885943,0.354706,0.886053,0.236564,0.08381312,0.046097,0.108752,0.108717,0.109020
12,0.414900,0.887697,0.384404,0.880175,0.267644,0.07038559,0.038712,0.101916,0.101874,0.102207
13,0.390872,0.897566,0.378244,0.876053,0.282452,0.12359759,0.067979,0.108910,0.108711,0.108900
14,0.377697,0.901754,0.336960,0.894211,0.449180,0.03512891,0.019321,0.112700,0.112667,0.112676
15,0.360929,0.909211,0.308658,0.904825,0.539514,0.17842738,0.098135,0.107371,0.107223,0.107677
16,0.405537,0.898925,0.354585,0.891579,0.143715,0.18910074,0.104005,0.112008,0.111463,0.111861
17,0.410346,0.900504,0.317711,0.900351,0.149189,0.05861987,0.032241,0.101061,0.100731,0.100966
18,0.353900,0.917675,0.299538,0.906930,0.182636,0.08781004,0.048296,0.106748,0.106343,0.106896
19,0.343712,0.916206,0.288467,0.909298,0.145412,0.04861582,0.026739,0.097530,0.097251,0.097336
20,0.370612,0.920351,0.265127,0.919649,0.143618,0.35949245,0.197721,0.106238,0.105843,0.106616
