epoch,train_loss,train_acc,val_loss,val_acc,ce_loss,grad_penalty,lambda_x_penalty,grad_R,grad_G,grad_B
1,2.484881,0.788838,0.769917,0.763246,0.425055,0.70285130,0.351426,0.113163,0.112646,0.113824
2,0.822294,0.831469,0.683447,0.797018,1.113909,0.32908261,0.164541,0.103973,0.103961,0.104157
3,0.819662,0.846776,0.346054,0.888246,0.454270,0.44873869,0.224369,0.100642,0.100140,0.101731
4,0.634414,0.887500,0.398326,0.887895,0.099303,0.76133716,0.380669,0.110704,0.109435,0.110643
5,0.608352,0.893991,0.408435,0.885175,0.712675,0.55306971,0.276535,0.114254,0.114061,0.116103
6,0.661399,0.888070,0.388048,0.884825,0.616390,0.28720015,0.143600,0.106834,0.106349,0.106057
7,0.591656,0.886009,0.485635,0.876140,0.787568,0.46077573,0.230388,0.107964,0.107256,0.108324
8,0.614155,0.871206,0.461150,0.884123,0.643339,0.26560801,0.132804,0.103489,0.103216,0.104712
9,0.543929,0.894079,0.392331,0.900614,0.279753,0.26283902,0.131420,0.107657,0.107597,0.108322
10,0.561726,0.893882,0.359299,0.905000,0.388707,0.39387935,0.196940,0.106426,0.106661,0.106797
11,0.453629,0.906075,0.331551,0.910526,0.124723,0.11960351,0.059802,0.109095,0.109243,0.109817
12,0.423458,0.904561,0.350741,0.893860,0.296091,0.16386151,0.081931,0.103500,0.103298,0.104436
13,0.425737,0.902281,0.462192,0.873070,0.496458,0.15518439,0.077592,0.106393,0.106750,0.107004
14,0.447818,0.896360,0.362480,0.894561,0.418306,0.19868828,0.099344,0.104744,0.104064,0.105092
15,0.418974,0.907654,0.323920,0.906316,0.217919,0.11541715,0.057709,0.102871,0.102560,0.103480
16,0.408509,0.909846,0.285453,0.916053,0.191702,0.11876282,0.059381,0.099236,0.098744,0.099279
17,0.368368,0.915724,0.269082,0.917895,0.324012,0.16058922,0.080295,0.104742,0.104325,0.105459
18,0.367041,0.918553,0.306433,0.909298,0.199377,0.26351771,0.131759,0.111552,0.110564,0.111085
19,0.400844,0.908487,0.304213,0.913333,0.619388,0.27613527,0.138068,0.113534,0.113051,0.114182
20,0.379465,0.917807,0.276934,0.921053,0.301421,0.13518217,0.067591,0.120333,0.120268,0.121297
