epoch,train_loss,train_acc,val_loss,val_acc,ce_loss,grad_penalty,lambda_x_penalty,grad_R,grad_G,grad_B
1,3.408397,0.730044,0.694171,0.778421,0.526729,0.52666050,0.342329,0.103370,0.102728,0.102842
2,1.067405,0.788202,0.754740,0.798772,0.548923,1.03225040,0.670963,0.106288,0.105242,0.105987
3,1.098282,0.807917,0.534477,0.863684,0.399309,0.69721431,0.453189,0.099061,0.098921,0.100376
4,0.841290,0.849232,0.459113,0.864298,0.222419,0.26410571,0.171669,0.093676,0.094110,0.094085
5,0.815694,0.849474,0.524480,0.845702,0.712340,0.44275883,0.287793,0.103263,0.103101,0.103086
6,0.924233,0.831250,0.486746,0.847544,0.769546,0.43276960,0.281300,0.111266,0.110707,0.110224
7,0.920897,0.827763,0.606803,0.815702,0.767262,0.52519667,0.341378,0.108889,0.108615,0.109458
8,0.909788,0.833311,0.456051,0.856404,0.452852,0.43936872,0.285590,0.107671,0.107484,0.107517
9,0.816940,0.841930,0.607076,0.824386,0.384915,0.66502428,0.432266,0.099117,0.098382,0.098651
10,0.823366,0.853158,0.470900,0.860088,0.388492,0.42900437,0.278853,0.110419,0.108353,0.111297
11,0.637180,0.878180,0.414708,0.877719,0.345280,0.35558999,0.231133,0.106876,0.106193,0.105838
12,0.613624,0.881009,0.403511,0.873070,0.459924,0.49078849,0.319013,0.113357,0.111659,0.112596
13,0.565398,0.880504,0.446185,0.872193,0.548309,0.21640043,0.140660,0.109560,0.108567,0.109021
14,0.550281,0.881162,0.405058,0.880351,0.094281,0.16449063,0.106919,0.100189,0.099527,0.100262
15,0.549510,0.888640,0.346379,0.898158,0.920306,0.22962469,0.149256,0.104898,0.104001,0.105375
16,0.523772,0.897654,0.353989,0.893421,0.368289,0.17620519,0.114533,0.106426,0.106332,0.107115
17,0.534421,0.894342,0.368395,0.890088,0.187021,0.21044520,0.136789,0.104141,0.105274,0.105241
18,0.538941,0.897478,0.320776,0.906491,0.393655,0.17697644,0.115035,0.096561,0.096814,0.098361
19,0.507797,0.909627,0.306577,0.915526,0.387347,0.12400834,0.080605,0.100968,0.101905,0.102715
20,0.516025,0.904320,0.320599,0.906491,0.976633,0.09402376,0.061115,0.099316,0.099872,0.100886
