epoch,train_loss,train_acc,val_loss,val_acc,ce_loss,grad_penalty,lambda_x_penalty,grad_R,grad_G,grad_B
1,6.736339,0.788399,0.308923,0.912368,0.314672,1.17526937,0.940215,0.107811,0.107925,0.107918
2,0.817382,0.930088,0.225387,0.929825,0.217178,0.64815003,0.518520,0.104698,0.105151,0.105036
3,0.904843,0.892588,0.535529,0.823246,0.497363,0.52507222,0.420058,0.101689,0.101319,0.101884
4,0.819751,0.827281,0.614702,0.805263,0.881824,0.17815818,0.142527,0.113398,0.113044,0.113703
5,0.814314,0.799912,0.676598,0.794211,0.682984,0.19457379,0.155659,0.107879,0.107271,0.107518
6,0.706577,0.834276,0.513281,0.844211,0.910073,0.08210170,0.065681,0.097665,0.097552,0.097589
7,0.664846,0.848377,0.503137,0.852719,0.343414,0.29335716,0.234686,0.106387,0.105864,0.107154
8,0.625831,0.860285,0.432318,0.872807,0.179649,0.12913123,0.103305,0.114078,0.113536,0.114418
9,0.574095,0.864912,0.444204,0.854649,0.147260,0.13202614,0.105621,0.106901,0.106714,0.107574
10,0.566997,0.860789,0.432813,0.867544,0.264579,0.08767363,0.070139,0.105772,0.106119,0.106433
11,0.481282,0.875746,0.407592,0.872456,0.379537,0.10913419,0.087307,0.111007,0.110646,0.111011
12,0.468990,0.878706,0.377786,0.876579,0.424196,0.10815348,0.086523,0.098156,0.098190,0.098796
13,0.455473,0.883443,0.374403,0.883947,0.735771,0.24414741,0.195318,0.104501,0.104196,0.104668
14,0.431763,0.887961,0.375612,0.881053,0.250509,0.10348678,0.082789,0.107745,0.107906,0.108075
15,0.460840,0.881053,0.383159,0.882105,0.149145,0.08961163,0.071689,0.111437,0.111533,0.112018
16,0.470474,0.877763,0.447547,0.858772,0.459077,0.07215537,0.057724,0.099822,0.100088,0.100210
17,0.505095,0.868969,0.418657,0.866842,0.441738,0.12327638,0.098621,0.107716,0.107731,0.108334
18,0.477515,0.877763,0.354762,0.889737,0.173953,0.06296510,0.050372,0.096650,0.096784,0.096868
19,0.436612,0.892237,0.370391,0.880877,0.434087,0.05889294,0.047114,0.111615,0.111336,0.111500
20,0.446162,0.887456,0.341807,0.892632,0.268977,0.11027375,0.088219,0.108762,0.108497,0.109091
