epoch,train_loss,train_acc,val_loss,val_acc,ce_loss,grad_penalty,lambda_x_penalty,grad_R,grad_G,grad_B
1,4.306714,0.902346,0.129337,0.962719,0.048067,1.13193774,0.565969,0.108236,0.108205,0.107988
2,0.512829,0.968904,0.176324,0.945000,0.070621,0.88039428,0.440197,0.104121,0.103871,0.104449
3,0.651206,0.913596,0.389391,0.873860,0.394966,0.44638750,0.223194,0.098503,0.098229,0.098778
4,0.488020,0.901075,0.379896,0.880175,0.549543,0.39612567,0.198063,0.104687,0.104262,0.104984
5,0.413802,0.904627,0.293505,0.905000,0.249607,0.22392452,0.111962,0.106829,0.106382,0.106799
6,0.406720,0.909364,0.548271,0.793772,0.414719,0.22764263,0.113821,0.114248,0.114095,0.114312
7,0.385078,0.909715,0.301368,0.902368,0.346952,0.23071280,0.115356,0.108777,0.108872,0.108983
8,0.379006,0.905899,0.274120,0.912193,0.250436,0.16672796,0.083364,0.109667,0.109695,0.110224
9,0.320842,0.926623,0.224377,0.926316,0.421045,0.12394483,0.061972,0.108694,0.108227,0.109029
10,0.305941,0.928048,0.208896,0.933596,0.131762,0.09736083,0.048680,0.100275,0.099889,0.100465
11,0.250831,0.940614,0.189996,0.940263,0.048560,0.06891378,0.034457,0.108926,0.108681,0.108762
12,0.239429,0.943618,0.187203,0.940526,0.163699,0.07573896,0.037869,0.096937,0.096840,0.096860
13,0.250873,0.940702,0.179117,0.942105,0.155978,0.11469746,0.057349,0.105639,0.105271,0.105509
14,0.240313,0.941250,0.178352,0.942632,0.115503,0.13940191,0.069701,0.105876,0.105579,0.105834
15,0.226194,0.945680,0.168052,0.945702,0.191428,0.09787197,0.048936,0.093458,0.092990,0.093554
16,0.219684,0.948925,0.189824,0.939298,0.249016,0.21163319,0.105817,0.104025,0.103758,0.104118
17,0.211053,0.949276,0.207427,0.936140,0.069355,0.12900147,0.064501,0.107969,0.108244,0.108599
18,0.207623,0.950570,0.159840,0.948684,0.025516,0.09673962,0.048370,0.098933,0.098908,0.099384
19,0.202314,0.952588,0.161122,0.946228,0.229714,0.14650232,0.073251,0.108863,0.108865,0.109158
20,0.203028,0.953794,0.168330,0.945789,0.361262,0.15375257,0.076876,0.106938,0.106653,0.106814
