epoch,train_loss,train_acc,val_loss,val_acc,ce_loss,grad_penalty,lambda_x_penalty,grad_R,grad_G,grad_B
1,5.842727,0.862237,0.189300,0.942193,0.308299,1.00898588,0.706290,0.100585,0.100378,0.100706
2,0.745659,0.958202,0.196311,0.937368,0.092649,0.82240629,0.575684,0.096556,0.095961,0.096490
3,0.890043,0.898640,0.493027,0.842368,0.273302,0.55676675,0.389737,0.104238,0.104091,0.104672
4,0.703297,0.874912,0.409671,0.865000,0.523009,0.37668261,0.263678,0.106889,0.106578,0.106785
5,0.707712,0.846053,0.478885,0.843772,0.399939,0.32890564,0.230234,0.096008,0.095533,0.095635
6,0.542623,0.881162,0.314940,0.899386,0.316361,0.32804021,0.229628,0.106184,0.106100,0.106453
7,0.499604,0.895110,0.381240,0.882018,0.372801,0.20449811,0.143149,0.101245,0.100595,0.101236
8,0.487435,0.890943,0.373667,0.882982,0.469694,0.25626135,0.179383,0.109381,0.108966,0.109237
9,0.468694,0.896974,0.367761,0.886053,0.535297,0.11349935,0.079450,0.098157,0.097895,0.098241
10,0.512312,0.881447,0.388541,0.879912,0.598730,0.29673359,0.207714,0.106198,0.105288,0.106122
11,0.447109,0.886623,0.360136,0.886930,0.389761,0.12965246,0.090757,0.109019,0.108745,0.109423
12,0.419169,0.895395,0.339649,0.900789,0.339414,0.07743617,0.054205,0.111542,0.111103,0.111651
13,0.387138,0.904408,0.311223,0.905789,0.403200,0.02809710,0.019668,0.099791,0.099529,0.099999
14,0.368201,0.906535,0.310492,0.902018,0.458822,0.03972620,0.027808,0.109303,0.108840,0.109123
15,0.386432,0.899320,0.340427,0.893596,0.832456,0.17069620,0.119487,0.114341,0.114077,0.114421
16,0.387790,0.897807,0.327799,0.897193,0.160111,0.12028973,0.084203,0.111455,0.111386,0.111759
17,0.370994,0.906908,0.293006,0.910614,0.265727,0.10521935,0.073654,0.103131,0.102808,0.103017
18,0.354177,0.910022,0.290127,0.911842,0.396769,0.07827751,0.054794,0.110555,0.110221,0.110656
19,0.362513,0.910000,0.311337,0.904912,0.341299,0.11275088,0.078926,0.101694,0.101355,0.101757
20,0.384058,0.902083,0.303911,0.907807,0.416478,0.09646285,0.067524,0.097874,0.097682,0.098234
