epoch,train_loss,train_acc,val_loss,val_acc,ce_loss,grad_penalty,lambda_x_penalty,grad_R,grad_G,grad_B
1,2.973127,0.784035,1.064904,0.668596,0.339023,0.53040564,0.318243,0.101580,0.100976,0.102014
2,0.995465,0.812654,0.507576,0.845088,0.291752,0.86609161,0.519655,0.100355,0.100902,0.102723
3,0.908045,0.831118,0.719491,0.796404,0.374157,0.46488723,0.278932,0.109143,0.109191,0.109524
4,0.771052,0.847807,0.561115,0.828158,0.865996,0.66979474,0.401877,0.105405,0.105308,0.106922
5,0.772941,0.842434,0.580107,0.839825,0.390012,0.29851311,0.179108,0.107426,0.107040,0.107432
6,0.698999,0.862588,0.535722,0.847281,0.337811,0.33039910,0.198239,0.110776,0.109196,0.108938
7,0.791506,0.835526,0.776794,0.788158,0.373311,0.67620850,0.405725,0.103992,0.104429,0.104101
8,0.791055,0.844649,0.441970,0.861491,0.464892,0.34266406,0.205598,0.107603,0.107344,0.107919
9,0.740683,0.859561,0.445502,0.858246,0.232363,0.38790795,0.232745,0.114474,0.115153,0.114331
10,0.747537,0.861447,0.810687,0.763684,0.457975,0.60445386,0.362672,0.103280,0.103983,0.103047
11,0.560508,0.881250,0.358872,0.892982,0.339491,0.19779661,0.118678,0.106001,0.105159,0.103683
12,0.503956,0.891162,0.356672,0.891404,0.382985,0.24939746,0.149638,0.103325,0.106009,0.104708
13,0.523755,0.886162,0.359822,0.887193,0.455687,0.31670624,0.190024,0.100271,0.101324,0.101919
14,0.505328,0.891579,0.411750,0.880526,0.933882,0.40545750,0.243274,0.105713,0.098927,0.099833
15,0.586568,0.868355,0.444423,0.871404,1.290066,0.21878846,0.131273,0.103597,0.099489,0.100932
16,0.579041,0.873399,0.375043,0.885526,0.295948,0.31235123,0.187411,0.104352,0.105740,0.107354
17,0.545502,0.882390,0.399986,0.877895,0.511052,0.32812518,0.196875,0.111138,0.109485,0.108883
18,0.545819,0.884364,0.368990,0.888421,0.588751,0.32992840,0.197957,0.107032,0.107606,0.109819
19,0.544207,0.883816,0.401183,0.872544,0.567683,0.26976588,0.161860,0.103165,0.101724,0.102181
20,0.548815,0.881645,0.359904,0.884386,0.460759,0.27834871,0.167009,0.107956,0.110279,0.110635
