epoch,train_loss,train_acc,val_loss,val_acc,ce_loss,grad_penalty,lambda_x_penalty,grad_R,grad_G,grad_B
1,4.331872,0.667697,2.214569,0.313596,0.748579,0.41865784,0.334926,0.109132,0.109951,0.109867
2,1.197809,0.766667,0.542560,0.823421,0.509153,0.76689327,0.613515,0.110248,0.111894,0.111113
3,1.166187,0.786908,1.024403,0.694825,0.532655,0.38859946,0.310880,0.103196,0.102818,0.102914
4,1.100640,0.793026,0.817047,0.787456,0.622221,0.38858515,0.310868,0.111961,0.111407,0.111327
5,1.032211,0.748202,0.716892,0.768509,0.855313,0.21252240,0.170018,0.118822,0.117744,0.118950
6,0.963537,0.762939,0.818126,0.747632,1.102704,0.23459400,0.187675,0.112466,0.111616,0.110852
7,0.970235,0.772895,0.641812,0.790439,0.847378,0.29051682,0.232413,0.105486,0.106136,0.106416
8,0.869641,0.782982,0.631143,0.789211,0.612645,0.20223716,0.161790,0.114053,0.114519,0.115005
9,0.854164,0.774627,1.048729,0.717719,0.604876,0.20490485,0.163924,0.098678,0.097953,0.098334
10,0.986797,0.767018,0.652298,0.782544,0.580648,0.29739150,0.237913,0.102223,0.102511,0.102089
11,0.785188,0.788399,0.604291,0.795526,0.330882,0.29312438,0.234500,0.099211,0.098995,0.098193
12,0.765108,0.800417,0.615644,0.795526,0.455085,0.23204021,0.185632,0.105084,0.104597,0.104358
13,0.730902,0.807434,0.610523,0.802105,0.618659,0.09588304,0.076706,0.109762,0.110116,0.110513
14,0.739765,0.810833,0.614716,0.805877,0.252331,0.22223213,0.177786,0.114804,0.115392,0.114923
15,0.795093,0.796776,0.606134,0.797719,0.877703,0.13809846,0.110479,0.098306,0.098900,0.099817
16,0.685302,0.816404,0.524399,0.828684,0.315175,0.11600888,0.092807,0.104605,0.104193,0.105336
17,0.605557,0.831930,0.493681,0.839737,0.643109,0.10514194,0.084114,0.101390,0.101353,0.102245
18,0.597416,0.830921,0.551470,0.817544,0.450821,0.02949170,0.023593,0.110395,0.110203,0.110339
19,0.589008,0.832434,0.489623,0.840614,0.663361,0.11019100,0.088153,0.101584,0.101566,0.102138
20,0.595577,0.838026,0.493710,0.841316,0.508879,0.13995491,0.111964,0.107831,0.107894,0.108882
