epoch,train_loss,train_acc,val_loss,val_acc,ce_loss,grad_penalty,lambda_x_penalty,grad_R,grad_G,grad_B
1,5.099201,0.863947,0.166962,0.958596,0.130085,1.15488935,0.635189,0.106782,0.106714,0.106802
2,0.573854,0.966162,0.129330,0.964912,0.048941,0.84467065,0.464569,0.104296,0.104262,0.104529
3,0.763237,0.913289,0.377885,0.883772,0.256721,0.38490483,0.211698,0.103477,0.103187,0.103854
4,0.545379,0.897368,0.361839,0.895263,0.196405,0.27780038,0.152790,0.106692,0.106709,0.107103
5,0.436555,0.911272,0.270562,0.920877,0.356685,0.21028915,0.115659,0.103486,0.103081,0.103565
6,0.413756,0.915395,0.311766,0.911228,0.159176,0.27921906,0.153570,0.106730,0.106558,0.107068
7,0.392683,0.920175,0.263054,0.919386,0.174856,0.26820442,0.147512,0.112399,0.112628,0.112885
8,0.384659,0.912259,0.288579,0.909825,0.163323,0.22702773,0.124865,0.102973,0.102663,0.103325
9,0.373427,0.914934,0.275881,0.910965,0.320487,0.22216722,0.122192,0.107360,0.107472,0.107815
10,0.349486,0.922303,0.223130,0.929649,0.177187,0.15320453,0.084262,0.097685,0.097621,0.097767
11,0.282609,0.934123,0.214163,0.934123,0.303948,0.06990930,0.038450,0.095723,0.095677,0.096212
12,0.279995,0.934276,0.198368,0.939649,0.213080,0.07321453,0.040268,0.113708,0.113687,0.114065
13,0.272325,0.939561,0.178175,0.942719,0.290863,0.12432408,0.068378,0.111476,0.111293,0.111862
14,0.255658,0.942763,0.200598,0.939474,0.185699,0.12222803,0.067225,0.109624,0.109452,0.109677
15,0.258404,0.942215,0.182415,0.942105,0.061790,0.15783653,0.086810,0.104105,0.104289,0.104586
16,0.251793,0.943706,0.164395,0.948246,0.243100,0.14317690,0.078747,0.105212,0.105203,0.105873
17,0.238667,0.945636,0.184277,0.943684,0.097638,0.12328480,0.067807,0.109003,0.109361,0.109626
18,0.243109,0.946798,0.175056,0.946930,0.198977,0.11235932,0.061798,0.102561,0.102352,0.102927
19,0.235994,0.947763,0.161997,0.948158,0.148023,0.23291391,0.128103,0.106861,0.106960,0.107048
20,0.229611,0.948509,0.174498,0.945702,0.574014,0.09013191,0.049573,0.116130,0.116104,0.116416
